Study_Hours,Attendance,Previous_Marks,Assignment_Score,Sleep_Hours,Extracurricular_Activities,Performance
4.4,54.3,83.1,67.7,4.5,Yes,Average
9.6,60.3,31.7,35.4,6.7,Yes,Average
7.6,54.7,31.5,44.5,4.4,No,Low
6.4,49.9,52.7,48.6,6.2,No,Low
2.4,51.6,64.2,55.2,6.2,No,Low
2.4,70.3,83.9,82.5,4.4,Yes,Average
1.5,56.3,77.8,77.3,5.9,No,Low
8.8,65.0,61.2,65.9,4.6,Yes,Average
6.4,72.7,49.2,61.2,8.4,No,Average
7.4,83.0,99.8,91.0,9.2,Yes,Good
1.2,47.2,59.8,48.9,4.4,Yes,Low
9.7,89.0,61.6,77.3,9.3,No,Good
8.5,79.5,41.5,51.3,6.9,No,Average
2.9,49.5,85.6,73.5,5.6,Yes,Average
2.6,93.0,78.6,89.6,4.4,No,Average
2.7,95.6,45.5,63.3,6.8,Yes,Average
3.7,48.4,35.8,41.9,8.4,Yes,Low
5.7,60.2,77.6,83.2,7.9,Yes,Average
4.9,89.3,75.8,76.6,4.3,Yes,Average
3.6,86.2,49.1,64.9,4.4,No,Average
6.5,55.1,96.6,84.4,6.2,Yes,Good
2.3,56.5,40.6,46.7,5.6,Yes,Low
3.6,65.4,60.3,69.5,5.3,No,Average
4.3,71.6,96.1,91.3,5.5,Yes,Good
5.1,79.0,59.4,68.0,8.4,No,Average
8.1,65.3,74.7,77.2,9.1,Yes,Good
2.8,70.4,57.8,59.8,6.2,No,Low
5.6,86.1,49.2,56.1,9.0,Yes,Average
6.3,47.0,98.9,78.1,5.8,Yes,Good
1.4,58.9,58.7,48.9,6.6,Yes,Low
6.5,84.2,92.6,100.0,5.2,Yes,Good
2.5,94.2,46.1,55.0,7.5,Yes,Low
1.6,73.1,44.9,52.3,9.4,No,Low
9.5,74.3,32.2,43.4,7.3,No,Average
9.7,50.9,75.6,69.7,6.0,No,Average
8.3,69.6,55.8,64.0,7.6,No,Average
3.7,74.3,90.5,89.9,4.7,Yes,Good
1.9,58.3,63.1,58.7,8.9,Yes,Average
7.2,59.8,97.8,85.6,6.8,Yes,Good
5.0,65.8,43.0,51.3,6.5,Yes,Low
2.1,46.1,90.8,76.1,7.2,No,Average
5.5,62.7,84.4,85.9,7.4,No,Average
1.3,56.6,84.0,78.2,4.4,Yes,Average
9.2,63.0,89.1,84.9,7.8,Yes,Good
3.3,51.6,83.3,77.1,5.3,No,Average
7.0,94.0,73.8,85.7,7.9,No,Good
3.8,77.6,39.2,51.6,8.5,Yes,Low
5.7,82.4,32.3,40.8,8.4,No,Low
5.9,88.4,94.5,94.7,7.0,No,Good
2.7,72.4,73.2,69.7,6.9,Yes,Average
9.7,49.8,85.8,72.4,4.8,Yes,Good
8.0,74.5,63.7,69.9,8.3,No,Average
9.5,77.3,38.2,56.1,5.5,No,Average
9.1,86.0,38.8,53.1,6.7,No,Average
6.4,68.7,78.0,76.8,5.6,Yes,Good
9.3,52.0,60.1,66.2,4.7,Yes,Average
1.8,60.6,44.0,50.2,7.5,No,Low
2.8,65.0,64.4,77.6,4.3,No,Average
1.4,80.5,34.5,51.1,8.1,Yes,Low
3.9,76.4,70.7,63.6,5.7,No,Average
4.5,64.6,48.8,57.3,4.0,No,Low
3.4,99.3,85.8,91.8,6.8,No,Good
8.5,78.3,51.7,66.1,4.3,No,Average
4.2,58.0,61.9,64.1,5.5,No,Low
3.5,50.6,30.8,36.0,7.9,Yes,Low
5.9,53.4,35.1,34.5,4.3,No,Low
2.3,58.5,57.5,56.8,8.6,Yes,Average
8.2,53.8,63.6,56.4,4.0,No,Average
1.7,55.3,72.0,64.1,5.4,Yes,Low
9.9,60.7,50.4,56.4,8.1,No,Average
8.0,54.5,78.6,79.7,5.7,Yes,Average
2.8,94.3,90.2,93.4,4.6,Yes,Good
1.0,49.4,84.6,68.1,6.0,Yes,Average
8.3,73.8,32.8,47.3,5.5,Yes,Average
7.4,67.6,63.6,70.8,8.6,No,Average
7.6,99.0,37.3,52.8,5.7,No,Average
7.9,51.2,46.9,47.5,8.3,No,Low
1.7,66.9,99.1,89.5,8.9,Yes,Average
4.2,98.3,40.0,53.6,6.4,Yes,Average
2.0,92.6,64.9,76.5,9.0,Yes,Average
8.8,89.9,73.3,77.7,6.1,Yes,Good
6.6,59.2,79.2,75.3,9.3,No,Average
4.0,54.4,69.2,60.3,4.5,Yes,Average
